continent,region,country,year,criminality,criminal_markets,human_trafficking,human_smuggling,arms_trafficking,flora_crimes,fauna_crimes,non_renewable_resource_crimes,heroin_trade,cocaine_trade,cannabis_trade,synthetic_drug_trade,criminal_actors,mafia_groups,criminal_networks,state_embedded_actors,foreign_actors,resilience,political_leadership_governance,government_transparency_accountability,international_cooperation,national_policies_laws,judicial_system_detention,law_enforcement,territorial_integrity,anti_money_laundering,economic_regulatory_capacity,victim_witness_support,prevention,non_state_actors,criminality_avg,criminal_markets_avg,cyber_dependent_crimes,financial_crimes,counterfeit_goods_trade,illicit_trade_excisable_goods,extortion_protection_racketeering,criminal_actors_avg,private_sector_actors,resilience_avg
Oceania,Polynesia,Tuvalu,2023,,,1.5,1.0,1.0,1.0,5.0,1.0,1.0,1.5,2.5,1.5,,1.0,1.0,1.5,1.5,,5.5,6.0,5.0,6.5,8.0,7.0,6.5,6.5,6.0,4.5,4.5,7.0,1.62,1.93,1.5,2.5,4.0,3.0,1.0,1.3,1.5,6.08
Americas,Caribbean & Central,Barbados,2023,,,4.0,2.0,5.0,1.0,1.5,2.0,1.0,6.0,5.0,1.0,,5.0,4.5,4.0,2.5,,6.0,7.5,7.5,7.0,5.0,7.0,6.5,5.0,4.5,5.5,6.0,6.0,3.07,2.43,1.5,2.0,1.5,1.0,2.0,3.7,2.5,6.13
Americas,South America,Chile,2023,,,6.0,5.0,6.5,4.5,5.0,3.0,2.0,7.5,7.0,5.5,,4.0,6.0,5.5,6.0,,7.0,7.0,8.0,6.0,5.5,4.5,4.0,6.5,6.0,6.0,6.5,7.0,5.18,5.07,5.0,4.0,6.5,4.0,4.5,5.3,5.0,6.17
Europe,Central & Eastern Europe,Czech Republic,2023,,,5.5,5.5,5.0,3.0,5.5,3.5,4.5,5.0,6.0,6.5,,3.5,4.5,5.0,4.5,,6.5,6.5,7.0,7.0,6.5,7.0,7.0,6.5,6.0,5.0,6.0,6.0,4.68,4.87,5.5,6.0,4.0,4.0,3.5,4.5,5.0,6.42
Europe,Southern Europe,Italy,2023,,,7.0,7.5,6.0,3.0,3.5,5.5,5.0,8.0,5.5,5.0,,9.0,3.5,6.5,7.5,,6.5,5.0,9.0,8.0,5.5,7.5,6.0,6.0,5.0,5.5,6.0,7.5,6.22,5.73,6.0,7.0,5.5,4.0,7.5,6.7,7.0,6.46
Europe,Southern Europe,Portugal,2023,,,5.5,5.0,4.0,4.0,4.0,3.5,5.0,6.0,5.5,5.0,,5.0,6.0,4.5,5.5,,7.0,5.0,7.5,7.0,6.0,7.0,6.0,6.5,5.5,7.0,6.0,7.5,4.88,4.67,5.5,5.0,4.5,4.0,3.5,5.1,4.5,6.5
Africa,West Africa,Cabo Verde,2023,,,4.5,2.0,3.0,2.0,4.0,1.0,4.0,7.5,5.5,4.0,,3.0,4.5,4.0,7.0,,7.0,7.0,8.5,7.0,7.5,6.0,7.5,5.0,6.0,4.0,6.5,7.0,4.28,3.97,4.5,4.0,4.0,4.5,5.0,4.6,4.5,6.58
Europe,Southern Europe,Spain,2023,,,7.0,7.0,4.0,3.5,5.0,2.5,6.5,7.5,7.5,5.5,,6.0,7.0,5.0,7.5,,6.5,6.0,8.5,8.0,7.0,8.0,5.5,6.5,6.0,6.5,5.5,7.0,5.9,5.7,6.0,7.0,6.0,6.5,4.0,6.1,5.0,6.75
Europe,Western Europe,France,2023,,,6.0,6.5,6.0,4.0,5.5,5.0,6.0,7.0,7.0,6.0,,6.0,6.5,3.5,7.0,,6.5,7.0,8.5,7.5,6.5,7.0,5.5,8.0,8.0,5.0,7.0,7.0,5.82,5.93,6.5,6.5,7.0,5.5,4.5,5.7,5.5,6.96
Europe,Western Europe,Switzerland,2023,,,5.0,3.5,5.5,1.5,3.0,7.0,2.5,6.0,4.5,4.0,,4.5,4.0,2.0,7.5,,8.5,6.0,8.0,7.0,7.0,7.5,8.5,5.0,6.0,7.0,6.0,8.0,4.87,4.63,7.0,7.5,6.0,4.0,2.5,5.1,7.5,7.04
Europe,Western Europe,Belgium,2023,,,5.0,6.0,6.0,3.0,3.5,4.0,4.0,8.0,6.5,7.5,,3.0,5.0,2.0,5.0,,7.0,7.0,8.0,7.5,6.0,7.0,6.0,7.0,7.0,7.5,7.0,7.5,4.43,5.17,6.0,6.5,5.0,4.0,2.5,3.7,3.5,7.04
Americas,North America,United States,2023,,,6.0,5.5,7.5,2.5,5.5,4.5,6.5,7.0,4.5,8.5,,5.5,6.0,4.5,5.5,,6.0,6.0,9.0,6.5,6.0,8.0,6.5,6.5,8.0,7.5,7.0,8.5,5.67,5.83,8.0,7.5,6.0,5.0,3.0,5.5,6.0,7.13
Americas,North America,Canada,2023,,,4.0,4.0,3.5,2.0,3.0,3.0,5.0,3.5,3.0,5.5,,5.0,4.0,2.0,4.5,,7.5,7.0,8.0,8.0,7.0,7.0,6.0,6.0,7.5,8.5,6.0,8.0,3.88,3.87,6.5,5.0,4.0,3.5,2.5,3.9,4.0,7.21
Europe,Northern Europe,Lithuania,2023,,,4.0,3.0,3.0,1.5,3.0,2.5,4.5,5.0,4.5,4.5,,4.0,4.5,4.0,4.0,,7.0,7.0,8.5,7.0,8.0,7.5,8.0,6.5,7.5,7.0,6.5,7.0,3.9,3.8,5.5,6.0,3.0,5.0,2.0,4.0,3.5,7.29
Europe,Western Europe,Ireland,2023,,,5.0,4.5,4.0,2.0,4.0,5.5,6.0,7.0,6.0,6.0,,6.5,6.0,4.0,6.5,,7.0,8.0,8.0,8.0,7.0,7.0,7.5,8.0,8.0,7.0,5.5,7.0,5.08,5.17,6.0,6.0,5.0,5.0,5.5,5.0,2.0,7.33
Asia,Eastern Asia,Japan,2023,,,5.0,5.0,2.5,4.0,6.0,3.0,1.5,3.0,4.5,5.0,,6.0,5.5,3.0,4.5,,6.0,7.5,9.0,7.5,8.0,7.5,8.5,7.5,8.0,5.5,5.5,8.0,4.28,3.87,3.5,6.0,2.0,2.0,5.0,4.7,4.5,7.38
Oceania,Australia and New Zealand,Australia,2023,,,3.5,2.5,3.5,3.0,4.0,2.0,3.5,6.5,3.0,7.0,,4.5,5.0,2.5,4.0,,7.5,8.0,9.0,8.0,8.0,8.0,7.5,7.0,7.0,6.0,6.0,6.5,4.0,4.3,7.5,7.0,2.0,5.0,4.5,3.7,2.5,7.38
Europe,Western Europe,Netherlands,2023,,,5.5,5.0,6.0,4.0,4.5,4.5,4.0,7.5,5.5,8.0,,4.5,6.0,3.0,6.0,,7.5,8.0,8.5,7.5,7.5,7.5,6.0,6.5,6.5,8.0,8.0,8.0,4.97,5.23,7.5,5.0,5.0,4.0,2.5,4.7,4.0,7.46
Europe,Northern Europe,Sweden,2023,,,5.0,6.0,6.0,2.5,3.5,2.0,3.0,5.5,5.5,6.0,,5.0,6.0,2.5,6.5,,6.5,8.5,8.5,7.5,7.0,6.5,8.0,8.0,7.0,6.0,7.5,8.5,4.7,4.6,6.0,6.0,4.0,3.5,4.5,4.8,4.0,7.46
Europe,Western Europe,Germany,2023,,,6.0,7.0,6.0,2.5,4.0,3.0,4.5,7.0,6.0,6.5,,5.0,6.5,2.0,7.0,,6.5,7.0,8.0,8.0,8.0,7.5,8.5,6.0,7.0,8.0,8.0,7.5,5.33,5.47,6.5,7.5,5.5,4.5,5.5,5.2,5.5,7.5
Europe,Western Europe,Austria,2023,,,4.5,6.0,5.5,2.0,2.5,2.0,4.0,4.0,4.5,5.0,,1.0,4.0,4.0,6.5,,7.5,6.5,7.5,8.0,8.5,8.5,7.5,6.5,7.0,8.0,7.5,7.0,4.13,4.17,5.0,5.5,4.0,3.5,4.5,4.1,5.0,7.5
