continent,region,country,year,criminality,criminal_markets,human_trafficking,human_smuggling,arms_trafficking,flora_crimes,fauna_crimes,non_renewable_resource_crimes,heroin_trade,cocaine_trade,cannabis_trade,synthetic_drug_trade,criminal_actors,mafia_groups,criminal_networks,state_embedded_actors,foreign_actors,resilience,political_leadership_governance,government_transparency_accountability,international_cooperation,national_policies_laws,judicial_system_detention,law_enforcement,territorial_integrity,anti_money_laundering,economic_regulatory_capacity,victim_witness_support,prevention,non_state_actors,criminality_avg,criminal_markets_avg,cyber_dependent_crimes,financial_crimes,counterfeit_goods_trade,illicit_trade_excisable_goods,extortion_protection_racketeering,criminal_actors_avg,private_sector_actors,resilience_avg
Americas,North America,United States,2021,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7.0,5.0,7.5,5.5,5.0,6.5,5.0,5.5,6.58,4.5,5.5,7.0,6.5,6.0,8.0,6.5,6.5,8.0,7.0,6.0,7.5,,,,,,,,,,
Asia,Central Asia and the Caucasus,Kazakhstan,2021,4.26,4.15,5.5,4.0,2.0,2.0,5.0,4.5,6.5,2.5,4.5,5.0,4.38,3.5,4.0,6.0,4.0,4.71,5.0,4.0,5.5,5.5,5.0,4.5,5.0,5.0,5.0,4.5,4.0,3.5,,,,,,,,,,
Americas,Caribbean ,Dominican Republic,2021,5.15,5.3,6.0,6.0,4.0,4.5,4.0,4.5,6.5,8.0,5.0,4.5,5.0,5.0,5.5,5.5,4.0,4.67,5.0,3.0,7.0,5.0,4.0,4.5,5.5,4.0,5.0,4.0,4.0,5.0,,,,,,,,,,
Africa,Southern Africa,Eswatini,2021,3.63,3.25,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,5.5,3.0,4.0,1.5,5.5,5.0,4.0,3.25,3.0,2.5,5.0,4.0,2.5,3.0,3.5,4.0,2.0,3.0,4.0,2.5,,,,,,,,,,
Europe,Southern Europe,Italy,2021,5.81,5.25,7.0,6.5,5.5,2.5,3.5,5.5,4.5,7.5,5.0,5.0,6.38,9.0,3.0,6.5,7.0,6.29,6.5,5.0,8.5,8.0,5.0,7.5,6.5,5.5,5.0,5.5,5.5,7.0,,,,,,,,,,
Africa,West Africa,Niger,2021,6.01,5.9,7.0,7.0,8.0,2.0,4.5,7.5,3.0,6.0,7.0,7.0,6.13,4.0,7.0,8.5,5.0,3.21,3.5,2.5,5.5,4.0,2.5,4.0,4.0,3.0,3.0,2.0,2.0,2.5,,,,,,,,,,
Europe,Southern Europe,Malta,2021,4.65,4.05,5.0,4.0,2.5,1.0,5.0,5.0,3.0,5.0,4.5,5.5,5.25,1.5,7.0,7.5,5.0,5.17,4.5,4.5,7.5,6.0,4.5,4.0,4.5,4.5,6.5,7.5,4.0,4.0,,,,,,,,,,
Africa,Southern Africa,Zimbabwe,2021,5.66,5.2,5.5,3.5,4.0,5.5,7.5,8.0,4.0,3.0,6.0,5.0,6.13,3.5,7.5,8.0,5.5,3.17,2.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,4.0,,,,,,,,,,
Africa,West Africa,Liberia,2021,5.05,5.1,6.0,3.0,4.5,5.5,6.0,6.5,5.0,5.5,6.0,3.0,5.0,3.0,6.0,6.0,5.0,3.17,3.5,3.0,3.0,3.0,3.5,4.0,4.0,3.0,4.0,1.0,2.0,4.0,,,,,,,,,,
Asia,Eastern Asia,Mongolia,2021,4.01,3.9,4.5,3.0,3.5,5.5,4.5,4.0,2.0,2.0,4.0,6.0,4.13,2.0,4.5,4.5,5.5,5.08,5.0,5.0,6.0,6.5,4.0,5.0,5.0,4.0,3.5,4.0,6.5,6.5,,,,,,,,,,
Africa,Central Africa,Gabon,2021,4.9,4.8,5.5,5.5,4.5,8.5,7.0,3.0,2.5,2.5,4.0,5.0,5.0,1.0,5.0,8.0,6.0,3.17,2.0,2.0,5.0,4.0,3.0,4.5,4.5,2.0,2.0,3.0,3.5,2.5,,,,,,,,,,
Europe,Southern Europe,Portugal,2021,4.55,4.1,4.5,4.0,4.0,3.5,3.5,3.0,4.5,5.0,4.5,4.5,5.0,4.5,6.0,4.5,5.0,6.46,7.0,5.5,7.5,7.0,5.5,7.5,6.0,6.5,5.5,7.0,5.5,7.0,,,,,,,,,,
Europe,Southern Europe,Greece,2021,4.93,4.1,5.5,7.5,3.5,2.0,2.5,3.0,6.0,3.5,5.0,2.5,5.75,3.0,6.5,7.5,6.0,5.25,5.5,5.0,6.5,6.0,4.5,5.0,5.5,5.5,5.5,4.0,5.0,5.0,,,,,,,,,,
Americas,Caribbean ,Cuba,2021,3.44,4.0,6.0,6.0,1.5,4.0,3.0,4.0,2.5,4.0,5.0,4.0,2.88,4.0,2.5,4.0,1.0,5.38,6.5,2.5,6.5,6.0,3.0,7.0,8.0,5.5,5.5,4.0,7.0,3.0,,,,,,,,,,
Africa,Central Africa,Cameroon,2021,6.31,6.25,6.5,5.5,6.5,7.0,7.5,7.5,4.5,3.5,7.0,7.0,6.38,4.0,7.5,8.0,6.0,3.13,2.0,1.5,5.0,4.5,2.5,4.0,2.0,3.5,2.5,2.5,2.5,5.0,,,,,,,,,,
Africa,North Africa,Mauritania,2021,4.38,4.0,7.5,6.0,4.0,1.0,3.5,3.5,1.5,4.5,6.5,2.0,4.75,2.5,4.5,7.0,5.0,3.08,4.0,3.5,3.0,3.5,2.5,3.0,4.5,4.0,3.0,1.5,2.0,2.5,,,,,,,,,,
Africa,East Africa,Sudan,2021,6.46,5.55,8.0,7.5,8.5,1.5,5.5,7.5,2.0,2.5,8.0,4.5,7.38,6.5,7.5,8.0,7.5,2.96,3.0,2.0,5.0,4.5,3.5,3.5,2.5,4.0,2.5,1.0,2.0,2.0,,,,,,,,,,
Africa,West Africa,Guinea,2021,5.2,5.15,7.0,3.0,6.0,4.5,6.0,6.5,2.5,7.0,4.5,4.5,5.25,1.0,5.0,8.0,7.0,2.83,2.0,3.0,4.0,3.5,3.0,3.5,3.0,3.0,3.0,1.5,1.5,3.0,,,,,,,,,,
Americas,South America,Paraguay,2021,6.7,5.9,7.0,6.0,8.5,6.0,6.5,3.5,1.0,7.0,9.0,4.5,7.5,6.0,7.5,8.0,8.5,3.38,2.0,3.0,5.0,3.0,3.0,3.0,5.0,2.5,4.0,2.0,3.0,5.0,,,,,,,,,,
Asia,Southern Asia,Bangladesh,2021,4.98,4.95,8.0,6.0,5.0,4.0,5.0,3.5,4.5,3.0,4.0,6.5,5.0,5.5,5.5,7.0,2.0,4.13,3.5,4.0,5.5,5.0,3.0,4.0,5.0,4.5,3.5,3.5,4.0,4.0,,,,,,,,,,
Asia,Central Asia and the Caucasus,Armenia,2021,3.26,3.4,3.5,2.0,2.5,4.0,4.5,3.5,4.0,2.0,4.0,4.0,3.13,3.0,3.0,3.5,3.0,5.71,6.0,6.0,6.5,6.0,4.5,6.0,5.5,6.0,5.5,5.5,5.0,6.0,,,,,,,,,,
Europe,Southern Europe,Spain,2021,5.78,5.3,7.0,7.0,4.0,3.5,5.0,2.0,6.5,7.0,7.0,4.0,6.25,6.0,6.5,5.0,7.5,6.63,6.0,6.0,8.0,8.0,7.0,8.0,5.5,6.5,6.0,6.5,5.0,7.0,,,,,,,,,,
Europe,Southern Europe,Cyprus,2021,4.19,3.5,5.5,6.0,2.5,2.5,3.0,2.0,2.0,4.5,4.0,3.0,4.88,3.5,5.0,4.0,7.0,4.42,5.0,5.0,6.5,6.0,4.0,5.5,3.0,3.0,3.5,4.0,3.5,4.0,,,,,,,,,,
Europe,Southern Europe,Monaco,2021,2.43,1.6,1.5,1.0,1.5,1.0,1.0,1.5,2.0,2.0,2.5,2.0,3.25,1.0,3.0,3.5,5.5,5.38,3.5,4.0,5.0,6.0,8.0,7.0,6.0,4.5,4.0,8.0,4.5,4.0,,,,,,,,,,
Africa,Central Africa,Chad,2021,5.86,5.35,7.0,7.0,8.0,1.5,3.5,7.0,2.0,4.5,6.0,7.0,6.38,5.5,6.5,8.5,5.0,2.46,3.5,2.5,5.0,2.5,2.0,2.5,3.5,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,
Oceania,Micronesia,Nauru,2021,1.76,1.65,1.5,2.5,1.0,1.0,3.0,3.5,1.0,1.0,1.0,1.0,1.88,1.0,1.0,3.5,2.0,4.67,5.0,4.5,6.0,6.5,6.0,5.5,7.5,6.0,4.0,2.0,1.0,2.0,,,,,,,,,,
Europe,Southern Europe,San Marino,2021,3.01,1.9,2.0,1.5,3.0,1.0,1.0,1.5,2.0,3.5,2.5,1.0,4.13,2.0,4.0,4.5,6.0,5.13,4.0,4.0,5.5,5.5,6.5,5.0,6.0,4.0,5.5,5.5,4.5,5.5,,,,,,,,,,
Africa,West Africa,Guinea-Bissau,2021,5.45,4.9,5.5,2.5,5.5,8.5,5.5,1.0,5.0,8.0,5.5,2.0,6.0,1.0,8.0,8.5,6.5,2.42,2.0,2.5,3.0,3.0,3.0,3.0,3.0,2.5,1.5,1.0,1.5,3.0,,,,,,,,,,
Asia,Eastern Asia,Japan,2021,4.53,4.05,5.0,4.5,3.0,4.0,6.0,3.0,2.0,3.0,4.5,5.5,5.0,6.5,5.5,3.0,5.0,7.46,6.0,7.5,9.0,7.5,8.0,7.5,8.5,8.0,8.0,5.5,6.0,8.0,,,,,,,,,,
Europe,Northern Europe,Norway,2021,3.81,4.0,5.0,3.5,3.5,2.5,4.0,3.5,5.0,4.5,4.0,4.5,3.63,4.5,4.0,2.0,4.0,7.92,8.0,8.5,9.0,8.5,8.0,8.5,8.0,7.0,7.5,7.5,7.0,7.5,,,,,,,,,,
Americas,Central America,Belize,2021,4.64,4.4,5.0,5.0,4.5,5.5,4.5,3.0,3.5,4.5,5.5,3.0,4.88,6.5,3.5,4.5,5.0,3.13,5.0,2.5,3.0,3.0,4.0,4.5,2.0,2.0,1.5,3.0,3.0,4.0,,,,,,,,,,
Africa,West Africa,Mali,2021,5.89,6.15,7.0,6.0,8.0,5.0,5.5,7.5,3.0,6.0,7.0,6.5,5.63,3.0,7.0,8.5,4.0,2.38,2.0,3.0,4.0,2.5,2.5,2.0,1.5,2.5,2.0,1.5,2.0,3.0,,,,,,,,,,
Asia,Southern Asia,Sri Lanka,2021,4.64,4.65,5.5,6.0,5.0,3.0,4.5,3.0,6.0,3.0,5.5,5.0,4.63,4.0,5.0,7.0,2.5,4.04,4.0,3.5,5.5,5.5,3.5,3.5,4.0,5.0,5.0,3.0,2.5,3.5,,,,,,,,,,
Europe,Northern Europe,Estonia,2021,3.6,3.45,4.5,3.0,3.0,1.5,1.5,3.0,3.0,3.5,5.0,6.5,3.75,3.0,5.0,2.0,5.0,7.83,8.0,8.0,8.5,8.0,8.0,7.0,8.0,7.5,8.0,7.5,8.0,7.5,,,,,,,,,,
Europe,Northern Europe,Sweden,2021,4.56,4.25,4.5,5.5,6.0,2.0,3.5,2.0,4.0,4.5,5.0,5.5,4.88,5.5,5.5,2.5,6.0,7.46,7.0,9.0,8.5,7.0,7.0,6.5,8.0,7.5,7.5,6.0,7.0,8.5,,,,,,,,,,
Asia,Central Asia and the Caucasus,Georgia,2021,2.96,3.05,3.5,2.0,2.0,3.5,3.5,3.0,3.5,2.0,3.5,4.0,2.88,2.5,3.0,3.0,3.0,5.71,5.0,6.5,7.0,6.5,3.5,6.5,5.0,5.0,5.0,7.0,5.5,6.0,,,,,,,,,,
Europe,Northern Europe,Denmark,2021,3.86,3.85,4.0,4.5,4.0,1.5,2.0,2.0,5.0,5.5,5.0,5.0,3.88,5.0,4.0,2.0,4.5,8.21,9.0,9.0,8.5,9.0,7.5,8.0,8.5,5.5,8.5,7.5,8.5,9.0,,,,,,,,,,
Americas,South America,Argentina,2021,4.38,3.75,4.0,3.0,3.0,3.0,3.5,3.0,2.0,6.5,6.5,3.0,5.0,4.0,6.0,5.0,5.0,6.33,7.0,5.0,6.0,7.0,6.0,6.5,6.0,7.0,6.0,6.0,5.5,8.0,,,,,,,,,,
Europe,Northern Europe,Latvia,2021,3.51,3.65,4.5,3.5,3.5,1.0,2.0,2.0,4.5,5.0,5.5,5.0,3.38,3.5,3.5,2.0,4.5,7.42,7.5,6.0,8.5,8.0,7.5,7.5,8.5,5.5,8.0,7.5,7.5,7.0,,,,,,,,,,
Europe,Northern Europe,Lithuania,2021,3.31,3.0,3.5,2.5,2.5,1.0,2.0,2.0,4.0,4.5,4.0,4.0,3.63,3.5,4.0,4.0,3.0,7.21,7.5,7.0,7.5,7.0,7.5,7.0,8.0,6.5,7.5,7.0,6.5,7.5,,,,,,,,,,
Americas,North America,Canada,2021,3.66,3.45,3.5,4.0,2.5,2.0,3.0,3.0,5.0,3.5,3.0,5.0,3.88,5.0,4.0,2.0,4.5,7.25,7.5,7.0,8.0,8.0,7.0,7.0,6.0,6.5,7.5,8.5,6.0,8.0,,,,,,,,,,
Europe,Northern Europe,Finland,2021,2.71,2.8,3.0,2.5,2.5,1.0,1.5,2.0,3.5,4.0,3.5,4.5,2.63,3.0,3.0,1.5,3.0,8.42,9.0,8.5,9.0,8.0,8.0,8.0,9.0,8.5,9.0,8.0,8.0,8.0,,,,,,,,,,
Americas,Caribbean ,Grenada,2021,3.05,2.85,2.0,1.0,3.0,1.0,2.5,3.0,1.0,6.5,7.0,1.5,3.25,4.0,2.0,3.0,4.0,4.67,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,3.0,4.0,3.0,,,,,,,,,,
Europe,Northern Europe,Iceland,2021,3.39,2.65,4.0,3.0,1.5,1.0,1.5,1.0,1.5,4.5,4.0,4.5,4.13,4.5,5.0,2.0,5.0,8.04,7.0,7.5,8.5,8.5,8.5,8.5,8.5,8.0,8.5,7.0,7.5,8.5,,,,,,,,,,
Africa,Southern Africa,Comoros,2021,3.86,3.85,5.0,5.5,3.5,3.0,5.5,1.0,4.0,2.0,3.0,6.0,3.88,1.0,4.5,6.0,4.0,2.38,2.0,2.0,3.0,2.5,2.0,2.0,3.0,4.0,3.0,1.5,1.5,2.0,,,,,,,,,,
Europe,Central & Eastern Europe,Ukraine,2021,6.18,5.6,7.0,6.5,8.0,6.5,4.0,7.0,5.0,3.5,5.0,3.5,6.75,6.0,7.0,8.0,6.0,4.0,3.5,4.0,5.5,4.0,4.5,3.5,2.0,4.0,4.5,3.5,4.0,5.0,,,,,,,,,,
Oceania,Melanesia,Solomon Islands,2021,4.15,3.55,4.0,2.0,3.0,8.0,7.5,2.5,1.0,2.5,3.5,1.5,4.75,1.0,4.5,7.0,6.5,5.21,5.0,4.5,5.5,4.5,5.5,6.0,5.0,5.0,5.0,4.5,6.5,5.5,,,,,,,,,,
Americas,Central America,Guatemala,2021,6.48,5.95,6.5,7.0,7.0,4.0,4.0,2.5,7.5,8.5,6.5,6.0,7.0,7.5,6.0,7.0,7.5,4.42,3.5,4.0,5.5,5.5,4.0,5.0,3.5,5.0,4.0,4.0,4.0,5.0,,,,,,,,,,
Europe,Central & Eastern Europe,Albania,2021,5.63,5.25,5.0,6.5,4.5,4.5,3.5,5.5,6.0,7.0,7.0,3.0,6.0,7.0,7.5,7.0,2.5,5.04,5.5,4.5,6.5,6.0,5.0,5.5,5.5,4.0,4.0,4.5,5.0,4.5,,,,,,,,,,
Europe,Central & Eastern Europe,Poland,2021,4.01,4.4,5.5,4.5,3.5,2.0,2.5,5.5,4.0,4.5,5.5,6.5,3.63,2.0,5.5,3.5,3.5,6.13,5.5,4.0,7.0,7.0,5.5,6.5,7.5,7.0,7.5,5.0,6.0,5.0,,,,,,,,,,
Oceania,Melanesia,Kiribati,2021,2.35,2.45,4.5,1.5,2.0,1.0,6.5,2.0,1.0,3.0,2.0,1.0,2.25,1.0,4.0,1.5,2.5,4.33,5.5,5.5,5.5,6.0,4.0,5.0,4.0,4.0,3.0,1.0,3.0,5.5,,,,,,,,,,
Europe,Central & Eastern Europe,Russia,2021,6.24,6.1,6.5,6.0,4.5,7.5,7.5,5.0,7.0,4.5,5.0,7.5,6.38,4.5,7.5,8.5,5.0,4.04,4.0,3.0,4.5,5.5,4.0,4.5,5.5,4.0,4.0,2.5,3.5,3.5,,,,,,,,,,
Asia,South-Eastern Asia,Timor-Leste,2021,3.96,3.55,4.0,5.0,4.0,3.0,5.0,2.0,2.5,2.5,3.5,4.0,4.38,5.0,4.0,4.5,4.0,3.67,3.0,3.0,3.5,4.5,4.0,4.5,3.0,4.0,3.0,3.5,3.5,4.5,,,,,,,,,,
Africa,East Africa,Eritrea,2021,4.34,4.05,9.0,9.5,6.5,1.5,2.0,2.0,3.0,1.5,4.0,1.5,4.63,1.0,5.5,9.5,2.5,2.33,1.0,1.0,2.0,2.5,2.0,3.0,7.0,3.0,2.5,1.0,2.0,1.0,,,,,,,,,,
Asia,Eastern Asia,"Korea, Rep.",2021,4.91,3.95,6.0,4.5,3.5,4.0,4.5,2.0,3.5,3.5,3.0,5.0,5.88,6.5,6.0,4.5,6.5,7.54,8.0,7.0,8.0,8.0,8.5,8.0,7.0,7.0,6.5,6.5,8.0,8.0,,,,,,,,,,
Americas,South America,Chile,2021,4.6,4.45,4.0,4.5,5.5,4.0,4.5,2.0,2.0,7.0,6.5,4.5,4.75,4.0,5.5,4.5,5.0,6.42,7.0,7.0,8.0,6.0,6.0,4.0,4.0,6.5,7.0,7.0,6.5,8.0,,,,,,,,,,
Oceania,Melanesia,Fiji,2021,3.9,3.8,5.0,3.5,2.0,3.0,4.5,2.0,2.0,4.5,5.0,6.5,4.0,1.0,6.5,3.0,5.5,5.25,6.0,5.5,5.0,5.5,4.5,5.0,4.5,6.0,6.0,4.0,5.0,6.0,,,,,,,,,,
Americas,Caribbean ,Bahamas,2021,3.79,3.95,4.5,5.0,4.5,1.0,4.5,2.0,4.0,7.0,4.0,3.0,3.63,3.5,2.0,3.0,6.0,5.21,6.0,6.0,6.0,6.0,3.5,6.0,5.0,4.5,4.0,6.5,5.0,4.0,,,,,,,,,,
Asia,South-Eastern Asia,Brunei,2021,2.76,3.15,4.5,4.0,2.5,3.0,4.0,2.0,2.5,1.5,3.5,4.0,2.38,1.0,2.5,2.0,4.0,4.58,4.0,4.0,4.5,4.5,4.0,5.0,5.5,5.5,6.5,3.5,4.5,3.5,,,,,,,,,,
Europe,Central & Eastern Europe,Bulgaria,2021,5.43,5.1,6.0,5.0,3.5,5.5,5.0,5.0,6.0,4.0,5.0,6.0,5.75,4.5,6.5,7.5,4.5,5.29,4.5,5.0,6.5,6.0,5.5,5.5,6.5,6.0,4.5,4.5,5.0,4.0,,,,,,,,,,
Africa,Central Africa,"Congo, Dem. Rep.",2021,7.75,6.5,7.0,5.5,9.0,8.5,8.0,9.0,4.0,4.5,7.0,2.5,9.0,9.0,9.0,9.0,9.0,2.29,1.0,1.0,4.0,3.0,2.5,1.5,2.0,2.0,1.5,2.0,2.0,5.0,,,,,,,,,,
Oceania,Australia and New Zealand,Australia,2021,4.0,3.75,3.5,3.0,3.5,3.0,3.5,2.0,3.5,5.0,3.5,7.0,4.25,5.0,6.0,2.0,4.0,7.96,8.0,8.5,9.0,8.0,8.0,8.0,9.0,7.0,7.0,7.5,7.5,8.0,,,,,,,,,,
Europe,Central & Eastern Europe,Belarus,2021,5.08,4.4,7.0,5.5,6.5,3.0,2.0,5.0,4.0,2.0,4.0,5.0,5.75,4.0,5.0,9.0,5.0,3.79,3.5,2.0,3.0,4.0,3.0,5.0,4.5,4.5,5.0,3.0,5.0,3.0,,,,,,,,,,
Oceania,Polynesia,Tonga,2021,3.78,3.3,3.5,1.0,5.0,1.0,3.5,2.0,1.5,4.0,5.0,6.5,4.25,1.0,4.5,5.0,6.5,5.21,5.0,5.5,6.5,6.0,4.0,5.0,5.5,5.0,5.0,5.0,4.0,6.0,,,,,,,,,,
Europe,Central & Eastern Europe,Croatia,2021,5.06,4.75,4.5,6.0,3.5,5.0,2.5,4.5,5.0,5.5,5.5,5.5,5.38,4.0,6.5,6.5,4.5,5.58,5.0,5.5,6.5,6.0,5.0,6.0,6.5,6.5,4.5,5.5,5.0,5.0,,,,,,,,,,
Europe,Central & Eastern Europe,Romania,2021,4.59,5.05,6.5,5.5,3.5,6.0,5.0,4.0,5.5,5.5,4.5,4.5,4.13,4.0,5.0,3.5,4.0,5.58,5.5,5.5,6.5,6.0,6.0,5.5,6.5,5.5,5.0,5.0,5.0,5.0,,,,,,,,,,
Africa,Central Africa,Equatorial Guinea,2021,4.11,3.85,4.5,2.0,5.0,8.5,5.0,6.0,1.5,1.5,3.5,1.0,4.38,1.0,2.5,9.0,5.0,2.17,1.5,1.0,2.0,5.5,2.0,2.0,3.5,2.0,1.5,1.5,1.5,2.0,,,,,,,,,,
Europe,Central & Eastern Europe,Serbia,2021,6.21,5.55,5.0,6.5,7.5,4.0,4.0,4.0,7.0,5.5,6.0,6.0,6.88,6.0,7.0,8.0,6.5,4.92,4.5,4.0,6.0,5.0,5.0,5.0,6.0,5.5,5.0,4.0,5.5,3.5,,,,,,,,,,
Oceania,Polynesia,Samoa,2021,2.04,2.45,3.5,2.0,3.0,1.5,2.0,2.0,1.0,2.5,4.5,2.5,1.63,1.0,2.0,1.5,2.0,5.67,4.5,5.0,5.0,6.5,6.0,6.5,7.5,6.0,3.0,5.0,6.0,7.0,,,,,,,,,,
Americas,Caribbean ,St. Kitts and Nevis,2021,4.1,3.2,3.0,2.5,5.0,1.5,2.0,2.0,1.0,7.0,7.0,1.0,5.0,1.0,6.5,6.5,6.0,5.0,6.0,5.0,6.0,6.5,7.0,4.5,6.0,5.5,2.0,2.5,4.0,5.0,,,,,,,,,,
Europe,Central & Eastern Europe,Hungary,2021,4.5,4.75,6.0,6.0,3.5,3.5,4.5,3.5,4.5,5.0,5.5,5.5,4.25,1.0,4.0,7.0,5.0,5.08,4.5,3.5,5.0,5.5,5.0,6.0,7.0,5.5,4.5,4.5,6.0,4.0,,,,,,,,,,
Europe,Central & Eastern Europe,Montenegro,2021,6.0,5.0,4.5,5.5,6.0,3.0,4.5,3.5,5.5,7.5,5.5,4.5,7.0,7.5,7.0,7.5,6.0,4.46,3.5,4.0,5.5,5.0,4.5,3.5,5.0,5.0,4.0,4.0,5.0,4.5,,,,,,,,,,
Americas,Caribbean ,Trinidad and Tobago,2021,4.94,4.25,6.0,4.0,6.0,1.0,2.0,2.0,3.0,7.5,7.0,4.0,5.63,6.0,5.0,5.0,6.5,5.21,5.0,5.0,6.5,7.0,3.5,5.5,5.0,6.0,4.0,5.0,5.0,5.0,,,,,,,,,,
Europe,Central & Eastern Europe,Czech Republic,2021,4.63,4.75,5.0,5.0,4.5,3.0,5.5,3.0,4.5,4.5,6.0,6.5,4.5,3.0,5.0,5.5,4.5,6.25,6.0,5.5,7.0,6.5,6.5,7.0,7.0,6.0,6.0,5.5,6.0,6.0,,,,,,,,,,
Americas,Caribbean ,Barbados,2021,3.21,2.55,3.5,2.0,4.0,1.0,1.0,2.0,1.0,5.5,4.5,1.0,3.88,5.0,4.5,4.0,2.0,5.71,5.5,7.0,7.0,6.0,4.5,6.5,6.0,5.0,3.5,5.5,6.0,6.0,,,,,,,,,,
Asia,South-Eastern Asia,Laos,2021,5.51,5.65,6.5,6.5,4.5,8.0,8.0,1.5,7.0,2.5,4.0,8.0,5.38,1.5,6.0,6.0,8.0,3.42,3.0,2.5,3.5,4.0,3.0,4.0,2.5,3.5,4.0,4.0,3.5,3.5,,,,,,,,,,
Oceania,Micronesia,Palau,2021,2.94,3.0,4.0,3.0,1.5,1.0,6.5,1.5,1.5,3.0,3.0,5.0,2.88,1.0,4.0,2.0,4.5,4.54,6.5,5.5,6.0,5.5,3.0,5.0,4.0,4.5,4.0,2.0,4.0,4.5,,,,,,,,,,
Americas,Central America,El Salvador,2021,5.94,5.0,7.0,6.5,7.0,5.0,5.5,1.5,1.5,7.0,7.0,2.0,6.88,9.5,6.5,7.0,4.5,3.71,2.5,3.0,5.5,5.0,2.0,3.0,5.0,4.0,2.0,4.0,4.5,4.0,,,,,,,,,,
Oceania,Melanesia,Vanuatu,2021,2.2,2.4,2.5,1.5,1.5,3.0,5.5,1.5,1.5,2.0,3.0,2.0,2.0,1.0,1.0,2.5,3.5,5.33,5.0,6.0,6.0,6.5,7.0,6.5,5.0,4.0,3.5,5.0,3.5,6.0,,,,,,,,,,
Asia,South-Eastern Asia,Singapore,2021,3.13,3.25,5.5,2.5,2.0,2.0,5.0,1.5,4.0,3.0,2.0,5.0,3.0,3.0,3.5,1.5,4.0,7.71,7.5,7.5,9.0,8.5,9.0,9.0,8.0,7.0,8.0,7.0,9.0,3.0,,,,,,,,,,
Asia,Western Asia,Jordan,2021,4.71,4.55,6.5,5.5,6.5,3.5,3.5,1.5,3.5,3.0,6.0,6.0,4.88,1.5,7.0,6.5,4.5,5.92,7.0,5.0,8.0,6.5,4.5,7.0,6.0,6.5,4.0,4.5,6.5,5.5,,,,,,,,,,
Oceania,Australia and New Zealand,New Zealand,2021,3.25,3.25,3.5,3.5,3.0,2.0,3.5,1.5,3.0,3.0,4.0,5.5,3.25,4.5,3.5,1.5,3.5,8.38,8.5,8.5,8.5,8.5,8.0,8.5,8.5,8.0,8.5,8.5,8.0,8.5,,,,,,,,,,
Americas,Caribbean ,Antigua and Barbuda,2021,3.34,3.05,4.0,2.0,3.0,1.0,3.5,1.5,3.0,6.0,5.0,1.5,3.63,3.0,3.0,3.0,5.5,4.33,4.5,5.0,5.0,5.0,3.0,4.0,4.0,2.5,5.0,4.0,4.5,5.5,,,,,,,,,,
Europe,Central & Eastern Europe,Bosnia and Herzegovina,2021,5.89,5.15,5.5,7.0,6.0,4.5,4.0,3.0,6.0,4.5,5.5,5.5,6.63,4.0,6.5,8.0,8.0,3.92,3.0,4.0,5.0,4.0,3.5,3.5,4.0,4.0,3.5,4.0,4.0,4.5,,,,,,,,,,
Europe,Central & Eastern Europe,North Macedonia,2021,5.31,5.0,5.5,6.5,4.5,4.0,3.5,3.0,6.5,5.0,6.0,5.5,5.63,4.0,6.5,6.0,6.0,5.21,5.0,4.5,6.0,5.0,5.0,5.0,6.0,5.5,4.5,5.0,5.0,6.0,,,,,,,,,,
Europe,Central & Eastern Europe,Slovakia,2021,4.69,4.25,5.5,3.5,4.5,3.5,3.0,3.0,4.5,4.5,5.0,5.5,5.13,3.0,6.0,6.5,5.0,5.38,5.5,5.0,7.0,6.5,5.0,5.5,6.0,5.0,4.5,4.5,5.0,5.0,,,,,,,,,,
Europe,Central & Eastern Europe,Moldova,2021,4.45,3.9,7.5,4.0,5.0,2.5,2.0,3.0,3.0,2.5,4.5,5.0,5.0,4.0,4.0,7.0,5.0,3.71,3.5,3.5,4.5,5.0,3.0,3.5,2.0,3.5,4.0,5.0,3.0,4.0,,,,,,,,,,
Oceania,Micronesia,Marshall Islands,2021,2.31,2.5,4.5,2.0,1.5,1.0,6.5,1.0,1.5,2.0,2.5,2.5,2.13,1.0,2.0,2.0,3.5,5.04,5.5,4.5,5.0,6.0,6.5,4.0,5.5,4.0,6.0,3.5,4.0,6.0,,,,,,,,,,
Oceania,Micronesia,Micronesia (Federated States of),2021,3.3,2.85,5.0,3.0,1.5,1.0,6.5,1.0,1.0,3.0,3.5,3.0,3.75,1.0,5.5,3.0,5.5,5.33,6.5,5.0,5.5,5.5,5.5,6.0,6.0,4.0,4.0,4.5,5.5,6.0,,,,,,,,,,
Africa,Central Africa,Burundi,2021,4.51,4.4,8.5,5.5,8.0,2.0,4.5,4.0,3.0,2.5,3.5,2.5,4.63,1.0,4.5,9.0,4.0,2.08,2.5,1.0,1.5,2.5,2.5,1.5,3.0,2.0,2.0,1.5,2.5,2.5,,,,,,,,,,
